Sales,Ship Mode,Segment,Region,Category,Sub-Category,Order Date,Ship Date,days_to_ship
1740.06,Standard Class,Consumer,Central,Furniture,Chairs,2015-08-09,2015-12-09,122.0
32.064,Standard Class,Consumer,Central,Office Supplies,Art,2015-08-09,2015-12-09,122.0
177.98,Standard Class,Consumer,Central,Office Supplies,Appliances,2015-08-09,2015-12-09,122.0
143.976,Standard Class,Consumer,Central,Technology,Phones,2015-08-09,2015-12-09,122.0
20.94,Standard Class,Consumer,West,Office Supplies,Paper,2015-05-08,2015-09-08,123.0
110.96,Standard Class,Consumer,West,Office Supplies,Paper,2015-05-08,2015-09-08,123.0
340.144,Standard Class,Consumer,West,Furniture,Chairs,2015-05-08,2015-09-08,123.0
24.816,Second Class,Corporate,Central,Office Supplies,Storage,2015-05-12,2015-09-12,123.0
408.744,Second Class,Corporate,Central,Technology,Accessories,2015-05-12,2015-09-12,123.0
218.75,First Class,Consumer,West,Furniture,Tables,2015-03-08,2015-05-08,61.0
2.6,First Class,Consumer,West,Office Supplies,Appliances,2015-03-08,2015-05-08,61.0
35.168,Standard Class,Corporate,South,Furniture,Furnishings,2018-03-06,2018-07-06,122.0
83.92,Standard Class,Consumer,Central,Office Supplies,Storage,2018-01-12,2018-07-12,181.0
131.98,Standard Class,Consumer,Central,Technology,Phones,2018-01-12,2018-07-12,181.0
15.92,Standard Class,Consumer,Central,Office Supplies,Binders,2018-01-12,2018-07-12,181.0
52.29,Standard Class,Consumer,Central,Office Supplies,Fasteners,2018-01-12,2018-07-12,181.0
91.99,Standard Class,Consumer,Central,Office Supplies,Storage,2018-01-12,2018-07-12,181.0
23.68,Standard Class,Corporate,East,Office Supplies,Labels,2016-02-01,2016-09-01,213.0
452.45,Standard Class,Corporate,East,Furniture,Bookcases,2016-02-01,2016-09-01,213.0
62.982,Standard Class,Corporate,East,Technology,Phones,2016-02-01,2016-09-01,213.0
1188.0,Standard Class,Corporate,East,Technology,Machines,2016-02-01,2016-09-01,213.0
89.584,Standard Class,Corporate,East,Technology,Accessories,2016-02-01,2016-09-01,213.0
233.86,Standard Class,Home Office,South,Furniture,Tables,2018-07-04,2018-12-04,153.0
620.6145,Standard Class,Home Office,South,Furniture,Tables,2018-07-04,2018-12-04,153.0
5.328,Standard Class,Home Office,South,Office Supplies,Binders,2018-07-04,2018-12-04,153.0
258.072,Standard Class,Home Office,South,Furniture,Furnishings,2018-07-04,2018-12-04,153.0
617.976,Standard Class,Home Office,South,Technology,Accessories,2018-07-04,2018-12-04,153.0
25.92,Second Class,Consumer,Central,Office Supplies,Paper,2017-04-06,2017-09-06,153.0
419.68,Second Class,Consumer,Central,Furniture,Furnishings,2017-04-06,2017-09-06,153.0
11.688,Second Class,Consumer,Central,Furniture,Furnishings,2017-04-06,2017-09-06,153.0
31.984,Second Class,Consumer,Central,Technology,Phones,2017-04-06,2017-09-06,153.0
177.225,Second Class,Consumer,Central,Furniture,Tables,2017-04-06,2017-09-06,153.0
4.044,Second Class,Consumer,Central,Furniture,Furnishings,2017-04-06,2017-09-06,153.0
7.408,Second Class,Consumer,Central,Office Supplies,Art,2017-04-06,2017-09-06,153.0
2001.86,Second Class,Home Office,Central,Furniture,Chairs,2015-01-06,2015-06-06,151.0
166.72,Second Class,Home Office,Central,Office Supplies,Storage,2015-01-06,2015-06-06,151.0
47.88,Second Class,Home Office,Central,Office Supplies,Paper,2015-01-06,2015-06-06,151.0
1503.25,Second Class,Home Office,Central,Office Supplies,Appliances,2015-01-06,2015-06-06,151.0
25.92,Second Class,Home Office,Central,Office Supplies,Paper,2015-01-06,2015-06-06,151.0
20.37,Second Class,Consumer,East,Technology,Accessories,2018-01-12,2018-03-12,59.0
221.55,Second Class,Consumer,East,Office Supplies,Storage,2018-01-12,2018-03-12,59.0
17.52,Second Class,Consumer,East,Office Supplies,Binders,2018-01-12,2018-03-12,59.0
1.624,Standard Class,Corporate,Central,Office Supplies,Appliances,2018-08-06,2018-12-06,122.0
1038.84,Standard Class,Consumer,West,Furniture,Tables,2016-02-11,2016-06-11,121.0
26.8,Second Class,Corporate,East,Furniture,Furnishings,2016-04-05,2016-09-05,153.0
45.48,Standard Class,Home Office,East,Office Supplies,Binders,2015-01-06,2015-06-06,151.0
289.2,Standard Class,Home Office,East,Office Supplies,Art,2015-01-06,2015-06-06,151.0
135.882,Standard Class,Home Office,East,Furniture,Chairs,2015-04-11,2015-09-11,153.0
3991.98,Standard Class,Home Office,East,Technology,Machines,2015-04-11,2015-09-11,153.0
275.94,Standard Class,Home Office,East,Technology,Phones,2015-04-11,2015-09-11,153.0
360.0,Standard Class,Home Office,East,Technology,Accessories,2015-04-11,2015-09-11,153.0
43.57,Standard Class,Home Office,East,Office Supplies,Storage,2015-04-11,2015-09-11,153.0
15.992,Second Class,Corporate,South,Furniture,Furnishings,2018-03-11,2018-05-11,61.0
4.752,Second Class,Consumer,West,Office Supplies,Binders,2016-01-09,2016-04-09,91.0
959.984,Second Class,Consumer,West,Technology,Copiers,2016-01-09,2016-04-09,91.0
14.368,Second Class,Consumer,West,Office Supplies,Binders,2016-01-09,2016-04-09,91.0
7.56,Standard Class,Consumer,East,Office Supplies,Art,2018-08-07,2018-12-07,122.0
24.56,Standard Class,Consumer,East,Office Supplies,Paper,2018-08-07,2018-12-07,122.0
12.96,Standard Class,Consumer,East,Office Supplies,Art,2018-08-07,2018-12-07,122.0
6.79,First Class,Home Office,East,Technology,Accessories,2017-01-09,2017-03-09,59.0
24.56,First Class,Home Office,East,Office Supplies,Paper,2017-01-09,2017-03-09,59.0
3.048,First Class,Home Office,East,Office Supplies,Binders,2017-01-09,2017-03-09,59.0
49.12,First Class,Home Office,East,Office Supplies,Paper,2017-01-09,2017-03-09,59.0
4355.168,First Class,Home Office,East,Office Supplies,Binders,2017-01-09,2017-03-09,59.0
647.84,First Class,Corporate,South,Office Supplies,Appliances,2018-08-03,2018-11-03,92.0
20.7,First Class,Corporate,South,Office Supplies,Labels,2018-08-03,2018-11-03,92.0
482.34,Standard Class,Corporate,East,Technology,Machines,2016-03-12,2016-07-12,122.0
2.96,Standard Class,Corporate,East,Furniture,Furnishings,2016-03-12,2016-07-12,122.0
12.462,Second Class,Corporate,Central,Office Supplies,Binders,2015-07-06,2015-10-06,92.0
35.952,Second Class,Consumer,Central,Office Supplies,Storage,2017-08-09,2017-10-09,61.0
2396.2656,Second Class,Consumer,Central,Furniture,Bookcases,2017-08-09,2017-10-09,61.0
131.136,Second Class,Consumer,Central,Office Supplies,Storage,2017-08-09,2017-10-09,61.0
57.584,Second Class,Consumer,Central,Technology,Accessories,2017-08-09,2017-10-09,61.0
179.95,Standard Class,Consumer,West,Technology,Accessories,2018-08-12,2018-12-12,122.0
1199.976,Standard Class,Consumer,West,Technology,Copiers,2018-08-12,2018-12-12,122.0
27.15,Standard Class,Consumer,West,Office Supplies,Paper,2018-08-12,2018-12-12,122.0
1004.024,Standard Class,Consumer,West,Furniture,Tables,2018-08-12,2018-12-12,122.0
9.68,Standard Class,Consumer,West,Office Supplies,Paper,2018-08-12,2018-12-12,122.0
28.35,Standard Class,Consumer,West,Office Supplies,Labels,2018-08-12,2018-12-12,122.0
55.98,Standard Class,Consumer,West,Office Supplies,Paper,2018-08-12,2018-12-12,122.0
1336.829,Standard Class,Consumer,West,Furniture,Bookcases,2018-08-12,2018-12-12,122.0
113.568,Standard Class,Consumer,West,Furniture,Chairs,2018-08-12,2018-12-12,122.0
139.86,Standard Class,Corporate,West,Office Supplies,Paper,2018-03-11,2018-07-11,122.0
307.136,Standard Class,Corporate,West,Furniture,Chairs,2018-03-11,2018-07-11,122.0
5.78,Standard Class,Corporate,South,Office Supplies,Paper,2018-06-11,2018-10-11,122.0
9.32,Standard Class,Corporate,West,Office Supplies,Art,2018-04-03,2018-09-03,153.0
15.25,Standard Class,Corporate,West,Office Supplies,Envelopes,2018-04-03,2018-09-03,153.0
6.672,Standard Class,Corporate,Central,Office Supplies,Art,2018-01-10,2018-08-10,212.0
714.3,First Class,Consumer,East,Office Supplies,Storage,2017-06-06,2017-07-06,30.0
12.22,Second Class,Consumer,Central,Furniture,Furnishings,2017-05-09,2017-07-09,61.0
194.94,Second Class,Consumer,Central,Office Supplies,Storage,2017-05-09,2017-07-09,61.0
70.95,Second Class,Consumer,Central,Office Supplies,Storage,2017-05-09,2017-07-09,61.0
91.36,Second Class,Consumer,Central,Office Supplies,Paper,2017-05-09,2017-07-09,61.0
242.94,Second Class,Consumer,Central,Furniture,Chairs,2017-05-09,2017-07-09,61.0
22.05,Second Class,Consumer,Central,Office Supplies,Labels,2017-05-09,2017-07-09,61.0
59.52,Second Class,Consumer,East,Office Supplies,Art,2017-01-04,2017-03-04,59.0
161.94,Second Class,Consumer,East,Office Supplies,Storage,2017-01-04,2017-03-04,59.0
263.88,Second Class,Consumer,East,Office Supplies,Art,2017-01-04,2017-03-04,59.0
30.48,Second Class,Consumer,East,Office Supplies,Art,2017-01-04,2017-03-04,59.0
9.84,Second Class,Consumer,East,Office Supplies,Art,2017-01-04,2017-03-04,59.0
35.12,Second Class,Consumer,East,Technology,Phones,2017-01-04,2017-03-04,59.0
340.92,Second Class,Consumer,West,Office Supplies,Storage,2015-09-11,2015-11-11,61.0
222.666,Second Class,Consumer,West,Furniture,Bookcases,2015-09-11,2015-11-11,61.0
703.968,Second Class,Consumer,West,Technology,Phones,2015-09-11,2015-11-11,61.0
92.52,Second Class,Consumer,West,Office Supplies,Storage,2015-09-11,2015-11-11,61.0
62.65,Second Class,Consumer,West,Office Supplies,Paper,2015-09-11,2015-11-11,61.0
94.85,Second Class,Consumer,West,Office Supplies,Paper,2015-09-11,2015-11-11,61.0
9.09,Standard Class,Consumer,West,Technology,Accessories,2015-06-10,2015-10-10,122.0
36.336,Standard Class,Consumer,East,Office Supplies,Storage,2016-03-09,2016-07-09,122.0
666.248,Standard Class,Consumer,East,Office Supplies,Supplies,2016-03-09,2016-07-09,122.0
52.512,Standard Class,Consumer,East,Office Supplies,Envelopes,2016-03-09,2016-07-09,122.0
190.72,Second Class,Corporate,West,Furniture,Chairs,2016-07-11,2016-09-11,62.0
47.94,Standard Class,Consumer,West,Furniture,Furnishings,2018-07-09,2018-11-09,123.0
42.616,Second Class,Consumer,Central,Office Supplies,Binders,2018-03-09,2018-08-09,153.0
10.752,Standard Class,Home Office,East,Office Supplies,Binders,2016-03-12,2016-08-12,153.0
152.94,Standard Class,Consumer,South,Office Supplies,Appliances,2016-07-12,2016-11-12,123.0
283.92,Standard Class,Consumer,South,Furniture,Chairs,2016-07-12,2016-11-12,123.0
468.9,First Class,Consumer,Central,Technology,Accessories,2015-01-02,2015-03-02,59.0
34.504,First Class,Consumer,South,Furniture,Furnishings,2018-11-09,2018-12-09,30.0
19.456,Second Class,Consumer,South,Office Supplies,Art,2015-03-03,2015-07-03,122.0
3.96,First Class,Consumer,West,Office Supplies,Fasteners,2016-07-12,2016-09-12,62.0
2.61,First Class,Consumer,West,Office Supplies,Labels,2016-07-12,2016-09-12,62.0
374.376,First Class,Consumer,West,Technology,Phones,2018-07-12,2018-10-12,92.0
91.84,Standard Class,Corporate,West,Office Supplies,Paper,2018-01-10,2018-08-10,212.0
81.088,Standard Class,Corporate,West,Office Supplies,Binders,2018-01-10,2018-08-10,212.0
19.44,Standard Class,Corporate,West,Office Supplies,Paper,2018-01-10,2018-08-10,212.0
451.152,Standard Class,Corporate,West,Furniture,Chairs,2018-01-10,2018-08-10,212.0
8.82,Standard Class,Consumer,West,Office Supplies,Art,2017-03-11,2017-07-11,122.0
470.376,Standard Class,Consumer,West,Technology,Phones,2018-01-12,2018-05-12,120.0
105.584,Standard Class,Consumer,West,Technology,Phones,2018-01-12,2018-05-12,120.0
31.152,Standard Class,Consumer,West,Office Supplies,Appliances,2018-01-12,2018-05-12,120.0
6.783,Standard Class,Consumer,West,Office Supplies,Binders,2018-01-12,2018-05-12,120.0
406.368,Standard Class,Consumer,West,Technology,Phones,2018-01-12,2018-05-12,120.0
70.98,Standard Class,Consumer,South,Furniture,Chairs,2016-03-07,2016-09-07,184.0
294.93,Standard Class,Consumer,South,Office Supplies,Labels,2016-03-07,2016-09-07,184.0
392.94,Second Class,Corporate,South,Furniture,Chairs,2016-04-10,2016-09-10,153.0
31.56,Standard Class,Corporate,West,Office Supplies,Fasteners,2017-01-04,2017-08-04,212.0
30.144,Standard Class,Corporate,West,Office Supplies,Appliances,2017-01-04,2017-08-04,212.0
10.74,Same Day,Consumer,South,Office Supplies,Fasteners,2017-04-11,2017-04-11,0.0
23.76,Second Class,Corporate,Central,Office Supplies,Supplies,2018-08-06,2018-10-06,61.0
85.056,Second Class,Corporate,Central,Office Supplies,Paper,2018-08-06,2018-10-06,61.0
381.576,Second Class,Corporate,Central,Technology,Phones,2018-08-06,2018-10-06,61.0
61.44,First Class,Consumer,Central,Office Supplies,Appliances,2018-05-12,2018-08-12,92.0
38.9,First Class,Consumer,Central,Office Supplies,Paper,2018-05-12,2018-08-12,92.0
99.39,First Class,Consumer,Central,Technology,Accessories,2018-05-12,2018-08-12,92.0
7999.98,Same Day,Corporate,South,Technology,Machines,2018-04-11,2018-04-11,0.0
167.44,Same Day,Corporate,South,Office Supplies,Appliances,2018-04-11,2018-04-11,0.0
479.97,First Class,Consumer,South,Technology,Accessories,2015-05-07,2015-08-07,92.0
14.62,First Class,Consumer,South,Office Supplies,Labels,2015-05-07,2015-08-07,92.0
19.44,First Class,Consumer,South,Office Supplies,Paper,2015-05-07,2015-08-07,92.0
15.072,Standard Class,Corporate,East,Furniture,Furnishings,2018-02-09,2018-08-09,181.0
209.88,Second Class,Corporate,West,Furniture,Furnishings,2017-04-11,2017-08-11,122.0
119.96,First Class,Consumer,East,Technology,Accessories,2015-02-12,2015-04-12,59.0
883.92,First Class,Consumer,East,Furniture,Bookcases,2015-02-12,2015-04-12,59.0
46.72,First Class,Consumer,East,Office Supplies,Binders,2015-02-12,2015-04-12,59.0
55.48,First Class,Home Office,East,Office Supplies,Paper,2015-05-04,2015-07-04,61.0
24.448,Standard Class,Consumer,South,Office Supplies,Envelopes,2018-03-09,2018-07-09,122.0
19.92,Second Class,Corporate,West,Office Supplies,Binders,2015-01-07,2015-06-07,151.0
59.808,Standard Class,Home Office,West,Office Supplies,Binders,2015-02-06,2015-07-06,150.0
73.32,Standard Class,Home Office,West,Furniture,Furnishings,2015-02-06,2015-07-06,150.0
45.584,Standard Class,Corporate,South,Office Supplies,Supplies,2017-07-07,2017-12-07,153.0
182.72,First Class,Consumer,East,Office Supplies,Paper,2017-03-12,2017-06-12,92.0
400.032,First Class,Consumer,East,Furniture,Tables,2017-03-12,2017-06-12,92.0
33.63,First Class,Consumer,East,Office Supplies,Storage,2017-03-12,2017-06-12,92.0
542.646,First Class,Consumer,East,Furniture,Chairs,2017-03-12,2017-06-12,92.0
6.3,First Class,Consumer,East,Office Supplies,Labels,2017-03-12,2017-06-12,92.0
49.98,Standard Class,Consumer,West,Technology,Accessories,2015-08-09,2015-12-09,122.0
11.784,Standard Class,Home Office,Central,Office Supplies,Labels,2015-04-01,2015-08-01,122.0
272.736,Standard Class,Home Office,Central,Office Supplies,Storage,2015-04-01,2015-08-01,122.0
3.54,Standard Class,Home Office,Central,Office Supplies,Binders,2015-04-01,2015-08-01,122.0
58.05,Standard Class,Consumer,Central,Office Supplies,Binders,2018-02-10,2018-06-10,120.0
157.74,Standard Class,Consumer,Central,Furniture,Furnishings,2018-02-10,2018-06-10,120.0
56.98,Standard Class,Consumer,Central,Office Supplies,Art,2018-02-10,2018-06-10,120.0
2.88,Standard Class,Consumer,Central,Office Supplies,Binders,2018-02-10,2018-06-10,120.0
1199.976,First Class,Corporate,West,Technology,Copiers,2017-07-04,2017-09-04,62.0
79.92,Standard Class,Consumer,West,Furniture,Furnishings,2016-07-12,2016-12-12,153.0
12.39,Standard Class,Corporate,South,Office Supplies,Labels,2018-03-11,2018-07-11,122.0
32.07,Second Class,Consumer,East,Office Supplies,Binders,2016-03-10,2016-06-10,92.0
24.0,Second Class,Consumer,East,Technology,Accessories,2016-03-10,2016-06-10,92.0
35.49,Second Class,Consumer,East,Furniture,Bookcases,2016-03-10,2016-06-10,92.0
47.984,Second Class,Consumer,East,Technology,Accessories,2016-03-10,2016-06-10,92.0
43.176,Standard Class,Consumer,West,Office Supplies,Art,2015-01-11,2015-07-11,181.0
1983.968,Standard Class,Consumer,West,Technology,Phones,2015-01-11,2015-07-11,181.0
28.4,First Class,Consumer,Central,Furniture,Furnishings,2016-03-02,2016-05-02,61.0
149.97,First Class,Consumer,Central,Technology,Accessories,2016-03-02,2016-05-02,61.0
9.664,Standard Class,Home Office,South,Office Supplies,Paper,2018-04-11,2018-11-11,214.0
21.072,Standard Class,Corporate,Central,Technology,Phones,2017-07-03,2017-12-03,153.0
37.44,First Class,Corporate,West,Office Supplies,Binders,2017-07-11,2017-09-11,62.0
26.976,First Class,Corporate,West,Office Supplies,Binders,2017-07-11,2017-09-11,62.0
11.36,First Class,Corporate,West,Office Supplies,Supplies,2017-07-11,2017-09-11,62.0
14.62,First Class,Corporate,West,Office Supplies,Labels,2017-07-11,2017-09-11,62.0
48.896,Standard Class,Consumer,East,Furniture,Furnishings,2018-01-01,2018-06-01,151.0
115.36,Standard Class,Corporate,East,Technology,Accessories,2015-07-02,2015-12-02,153.0
39.96,Standard Class,Consumer,East,Office Supplies,Paper,2015-03-08,2015-08-08,153.0
102.3,Standard Class,Consumer,East,Office Supplies,Supplies,2015-03-08,2015-08-08,153.0
21.36,Standard Class,Consumer,East,Office Supplies,Storage,2015-03-08,2015-08-08,153.0
191.472,Second Class,Corporate,South,Technology,Accessories,2017-05-01,2017-07-01,61.0
5.248,Second Class,Corporate,South,Office Supplies,Art,2017-05-01,2017-07-01,61.0
59.184,Second Class,Corporate,South,Technology,Phones,2017-05-01,2017-07-01,61.0
44.91,Standard Class,Corporate,East,Office Supplies,Binders,2015-06-04,2015-10-04,122.0
1141.47,First Class,Home Office,East,Office Supplies,Binders,2017-03-09,2017-05-09,61.0
280.782,First Class,Home Office,East,Technology,Phones,2017-03-09,2017-05-09,61.0
155.82,First Class,Corporate,West,Office Supplies,Storage,2017-10-11,2017-12-11,61.0
70.008,First Class,Corporate,West,Office Supplies,Binders,2017-10-11,2017-12-11,61.0
15.648,Second Class,Consumer,Central,Office Supplies,Envelopes,2017-03-10,2017-06-10,92.0
8.904,First Class,Corporate,East,Office Supplies,Binders,2017-10-04,2017-12-04,61.0
20.04,Standard Class,Consumer,West,Office Supplies,Paper,2017-08-04,2017-12-04,122.0
64.96,Standard Class,Consumer,West,Office Supplies,Storage,2017-08-04,2017-12-04,122.0
12.96,Standard Class,Consumer,West,Office Supplies,Paper,2017-08-04,2017-12-04,122.0
1199.8,Standard Class,Home Office,Central,Technology,Phones,2018-02-09,2018-07-09,150.0
1928.78,Standard Class,Home Office,Central,Technology,Accessories,2018-02-09,2018-07-09,150.0
352.38,Standard Class,Home Office,Central,Office Supplies,Storage,2018-02-09,2018-07-09,150.0
149.352,Standard Class,Corporate,Central,Office Supplies,Envelopes,2017-05-03,2017-11-03,184.0
12.992,Standard Class,Corporate,Central,Office Supplies,Storage,2017-05-03,2017-11-03,184.0
24.56,Standard Class,Consumer,South,Office Supplies,Storage,2015-05-12,2015-12-12,214.0
46.2,Standard Class,Home Office,South,Office Supplies,Art,2016-05-10,2016-09-10,123.0
28.84,Standard Class,Home Office,South,Office Supplies,Appliances,2016-05-10,2016-09-10,123.0
12.192,Standard Class,Consumer,East,Office Supplies,Paper,2018-02-09,2018-06-09,120.0
159.99,First Class,Corporate,West,Technology,Accessories,2018-05-11,2018-06-11,31.0
25.472,Standard Class,Consumer,East,Furniture,Furnishings,2018-03-04,2018-07-04,122.0
21.88,First Class,Corporate,West,Office Supplies,Envelopes,2017-01-09,2017-04-09,90.0
9.82,First Class,Home Office,East,Office Supplies,Labels,2018-09-04,2018-11-04,61.0
35.97,First Class,Home Office,East,Office Supplies,Art,2018-09-04,2018-11-04,61.0
12.96,First Class,Home Office,East,Office Supplies,Paper,2018-09-04,2018-11-04,61.0
191.6,First Class,Home Office,East,Office Supplies,Paper,2018-09-04,2018-11-04,61.0
8.64,First Class,Home Office,East,Office Supplies,Labels,2018-09-04,2018-11-04,61.0
501.81,First Class,Home Office,East,Office Supplies,Storage,2018-09-04,2018-11-04,61.0
160.93,Second Class,Home Office,East,Technology,Phones,2018-05-10,2018-08-10,92.0
75.792,Second Class,Home Office,East,Office Supplies,Binders,2018-05-10,2018-08-10,92.0
3059.982,First Class,Corporate,Central,Technology,Machines,2018-07-01,2018-10-01,92.0
34.02,First Class,Corporate,Central,Office Supplies,Paper,2016-09-12,2016-12-12,91.0
599.292,Standard Class,Consumer,East,Furniture,Chairs,2017-03-10,2017-08-10,153.0
1.112,Same Day,Consumer,Central,Office Supplies,Binders,2016-10-03,2016-10-03,0.0
14.624,First Class,Consumer,East,Office Supplies,Binders,2017-09-09,2017-11-09,61.0
7.08,First Class,Consumer,West,Office Supplies,Envelopes,2016-06-11,2016-09-11,92.0
4.401,First Class,Consumer,West,Office Supplies,Binders,2016-06-11,2016-09-11,92.0
95.984,First Class,Consumer,Central,Technology,Phones,2018-01-08,2018-03-08,59.0
13.96,Standard Class,Corporate,East,Furniture,Furnishings,2016-06-07,2016-10-07,122.0
155.82,Standard Class,Corporate,East,Furniture,Furnishings,2016-06-07,2016-10-07,122.0
124.95,Standard Class,Corporate,East,Technology,Phones,2016-06-07,2016-10-07,122.0
601.65,Standard Class,Corporate,East,Office Supplies,Storage,2016-06-07,2016-10-07,122.0
31.86,Second Class,Consumer,East,Technology,Accessories,2017-06-09,2017-09-09,92.0
722.352,Second Class,Consumer,East,Furniture,Bookcases,2017-06-09,2017-09-09,92.0
8.84,First Class,Corporate,Central,Office Supplies,Art,2018-09-07,2018-12-07,91.0
58.464,First Class,Corporate,Central,Office Supplies,Appliances,2018-09-07,2018-12-07,91.0
168.464,First Class,Corporate,East,Furniture,Furnishings,2016-03-07,2016-05-07,61.0
6.72,First Class,Corporate,East,Office Supplies,Paper,2016-03-07,2016-05-07,61.0
282.888,First Class,Corporate,East,Furniture,Furnishings,2016-03-07,2016-05-07,61.0
11.16,Standard Class,Home Office,East,Office Supplies,Art,2016-04-04,2016-08-04,122.0
108.4,Standard Class,Home Office,East,Furniture,Furnishings,2016-04-04,2016-08-04,122.0
82.344,Standard Class,Home Office,East,Office Supplies,Binders,2016-04-04,2016-08-04,122.0
9.088,Standard Class,Home Office,East,Office Supplies,Binders,2016-04-04,2016-08-04,122.0
194.848,First Class,Consumer,West,Furniture,Chairs,2017-01-10,2017-02-10,31.0
836.592,Standard Class,Consumer,East,Furniture,Tables,2017-01-03,2017-05-03,120.0
26.38,Standard Class,Consumer,East,Office Supplies,Paper,2017-01-03,2017-05-03,120.0
362.92,Standard Class,Consumer,East,Office Supplies,Storage,2017-01-03,2017-05-03,120.0
4899.93,Standard Class,Consumer,East,Technology,Machines,2017-01-03,2017-05-03,120.0
6.48,Same Day,Consumer,Central,Office Supplies,Paper,2017-12-08,2017-12-08,0.0
31.984,Standard Class,Corporate,South,Furniture,Furnishings,2018-04-06,2018-10-06,183.0
71.984,Standard Class,Corporate,South,Technology,Phones,2018-04-06,2018-10-06,183.0
279.9,Standard Class,Consumer,South,Office Supplies,Paper,2016-04-09,2016-08-09,122.0
619.95,Standard Class,Consumer,South,Technology,Accessories,2016-04-09,2016-08-09,122.0
4.36,Standard Class,Consumer,South,Office Supplies,Paper,2016-04-09,2016-08-09,122.0
15.28,Standard Class,Consumer,South,Office Supplies,Envelopes,2016-04-09,2016-08-09,122.0
10.16,Standard Class,Home Office,Central,Office Supplies,Art,2016-02-03,2016-07-03,151.0
101.88,Standard Class,Home Office,Central,Office Supplies,Envelopes,2016-02-03,2016-07-03,151.0
19.44,First Class,Corporate,West,Office Supplies,Paper,2017-06-12,2017-07-12,30.0
124.608,Standard Class,Home Office,East,Office Supplies,Storage,2017-05-06,2017-09-06,123.0
